abbreviation,state,by_mail,online,in_person,link_to_register_online,link_to_register_by_mail,link_to_register_in_person,Additional Information,Source
AL,Alabama,10/22/2018,10/22/18,10/22/2018,https://www.alabamainteractive.org/sos/voter_registration/voterRegistrationWelcome.action,https://sos.alabama.gov/sites/default/files/voter-pdfs/nvra-2.pdf,https://sos.alabama.gov/alabama-votes/voter/register-to-vote,,
AK,Alaska ,10/7/2018,10/7/2018,10/7/2018,https://voterregistration.alaska.gov/Registration/RegistrationDetails?haveValidAKDL=true,http://www.elections.alaska.gov/doc/forms/C03.pdf,http://www.elections.alaska.gov/,,
AZ,Arizona,10/9/2018,10/9/18,10/9/2018,https://azsos.gov/elections/voting-election/register-vote-or-update-your-current-voter-information,https://azsos.gov/sites/default/files/voter_registration_form.pdf,https://azsos.gov/elections/voting-election/contact-information-county-election-officials,,
AR,Arkansas,10/9/2018,10/9/18,10/9/2018,https://www.sos.arkansas.gov/elections/voter-information/voter-registration-information,https://www.sos.arkansas.gov/uploads/elections/ArkansasVoterRegistrationApplication.pdf,https://www.sos.arkansas.gov/elections/voter-information/voter-registration-information,,
CA,California,10/22/2018,10/22/18,11/6/2018,https://registertovote.ca.gov/,https://elections.cdn.sos.ca.gov/vote-by-mail/pdf/vote-by-mail-application.pdf,https://www.sos.ca.gov/elections/voter-registration/,,
CO,Colorado,10/29/2018,10/29/18,11/6/2018,https://www.sos.state.co.us/voter/pages/pub/olvr/verifyNewVoter.xhtml,https://www.sos.state.co.us/pubs/elections/vote/VoterRegFormEnglish.pdf,https://www.sos.state.co.us/pubs/elections/electionInfo.html?menuheaders=5,,
CT,Connecticut,10/30/2018,10/30/18,10/30/2018,https://voterregistration.ct.gov/OLVR/welcome.do,https://portal.ct.gov/-/media/sots/ElectionServices/ElectForms/electforms/VoterRegCardEnglish2015pdf.pdf?la=en,https://portal.ct.gov/SOTS/Election-Services/V5-Side-Navigation/ELE---Voter-Information,,
DE,Delaware,10/13/2018,10/13/18,10/13/2018,https://ivote.de.gov/default.aspx,https://elections.delaware.gov/pubs/stateform.pdf,https://elections.delaware.gov/voter/votereg.shtml,,
DC,District of Columbia,10/16/2018,10/16/18,11/6/2018,https://www.vote4dc.com/ApplyInstructions/Register,https://www.dcboe.org/dcboe/media/PDFFiles/Mail_VRForm_eng.pdf,https://www.dcboe.org/FAQS/Voter-Registration,,
FL,Florida,10/9/2018,10/9/2018,10/9/2018,https://registertovoteflorida.gov/en/Registration/Index,https://dos.myflorida.com/media/693757/dsde39.pdf,https://dos.myflorida.com/elections/for-voters/voter-registration/register-to-vote-or-update-your-information/,,
GA,Georgia,10/9/2018,10/9/18,10/9/2018,https://registertovote.sos.ga.gov/GAOLVR/welcometoga.do#no-back-button,https://registertovote.sos.ga.gov/GAOLVR/images/reg_form.pdf,http://elections.sos.ga.gov/Elections/countyregistrars.do,,
HI,Hawaii,10/9/2018,10/9/18,10/9/2018,https://olvr.hawaii.gov/,https://elections.hawaii.gov/wp-content/uploads/Voter-Registration-and-Permanent-Absentee-Application_Form-Fillable.pdf,https://elections.hawaii.gov/voters/registration/,,
ID,Idaho,10/12/2018,10/12/18,11/6/2018,https://apps.idahovotes.gov/OnlineVoterRegistration,https://idahovotes.gov/media/voter_registration.pdf,https://idahovotes.gov/voting/,,
IL,Illinois,10/9/2018,10/21/18,11/6/2018,https://ova.elections.il.gov/,https://www.elections.il.gov/downloads/votinginformation/pdf/r-19.pdf,https://www.elections.il.gov/votinginformation/register.aspx,,
IN,Indiana,10/9/2018,10/9/18,10/9/2018,https://indianavoters.in.gov/,https://indianavoters.in.gov/MVPHome/PrintDocuments,https://www.in.gov/sos/elections/2403.htm,,
IA,Iowa,10/27/2018,10/27/18,10/27/2018,https://mymvd.iowadot.gov/Account/Login?ReturnUrl=%2fVoterRegistration,https://sos.iowa.gov/elections/pdf/forms/voterreglargeprint.pdf,https://sos.iowa.gov/elections/voterinformation/voterregistration.html,,
KS,Kansas,10/16/2018,10/16/18,10/16/2018,https://www.kdor.ks.gov/Apps/VoterReg/Default.aspx,http://www.kssos.org/forms/elections/voterregistration.pdf,http://www.kssos.org/elections/elections_registration.html,,
